reviewer,sentence,rating,sentiment,opinionated
  Alex Kim ," Whenever you need it, it needs to upgrade the bridge.",2,-1,1
  Travis Meinders , Location awareness/geofencing still doesn't work.,1,-1,1
  Travis Meinders ,"Any time I enable it and leave the screen and come back, it shows as disabled again.",1,-1,1
  Travis Meinders ,"Even if I go into the leaving and coming home interfaces, uncheck and recheck the boxes for the rooms I want this for, and click save, the location awareness toggle still flips back to off.",1,-1,1
  Travis Meinders ,"This has been a problem for months and I still typically use the gen 1 app because it is a little more reliable, but now they are prompting users in that app that it is no longer supported and should switch to this one.",1,-1,1
  Travis Meinders ,Well I switched to this one again and I have to say I still don't believe I'm actually using a supported app.,1,-1,1
  brian cruz , It's ok but yet the hue bridge doesn't connect,2,-1,1
  Jacob Z , Can't connect outside of home WiFi anymore.,2,-1,1
  Jacob Z ,Why?,2,0,0
  John King ," It's a great App never had any problems  with this,only onwards and upwards.",5,1,1
  Dennis Paulin , When it works it is awesome.,2,1,1
  Dennis Paulin ,But most of the time it doesn't.,2,-1,1
  Dennis Paulin ,Then there is the flickering.,2,-1,1
  Dennis Paulin ,"If you are in the app, and haven't told it to do anything, it can flicker.",2,-1,1
  Dennis Paulin ,Nothing is consistent though.,2,-1,1
  Dennis Paulin ,"It didn't always work, and it doesn't always flicker.",2,0,0
  Chiel Hendriks , OK start Philips but you can do much better here.,3,-1,1
  Chiel Hendriks ,E.g.,3,0,0
  Chiel Hendriks ,Alarms should allow aight to be dimmed to a custom level...Then brighten from there.,3,-1,1
  Indy Pank , The main app is OK but the widgets don't remember light state when using more than one bulb... useless,2,-1,1
  Alex Clasen ," Simple, very easy to use, clean interface.",4,1,1
  Alex Clasen ,"My only complaint is that I wish you could phase on a particular light ""manually"" (like in the older Hue app), rather than turning it on then phasing it down.",4,-1,1
  Alex Clasen ,"Beyond that, love this flexibility with lighting!",4,1,1
  Colin Fahey , Gen 2 app is marginally better.,2,1,1
  Colin Fahey ,Way more intuitive to use.,2,1,1
  Colin Fahey ,"Should have left as is, but just make it easier to adjust brightness",2,-1,1
  Charlie Eustace , Latest hub firmware update messed more up than it fixed - also this app is useless compared to almost any other hue lighting app.,1,-1,1
  Charlie Eustace ,Why isn't it the best?,1,-1,1
  Charlie Eustace ,It's the official app and you're Phillips - get programming and add features.,1,-1,1
  Charlie Eustace ,It's so limiting and restrictive.,1,-1,1
  Charlie Eustace ,Life your game.,1,0,0
  Peter White , Impenetrable guff.,1,-1,1
  Peter White ,"Remains unrecognizable despite all gear installed, searched..... and unfound!",1,-1,1
  Tyrone W , Needed some timers and more features,2,-1,1
  Will Vincent , Amazing,5,1,1
  Nicola Payne ," I don't know why this is only 2.8 stars, it works fine for me!",5,1,1
  Donny Murray ," Can't fault this app, set up lights very easily.",5,1,1
  Donny Murray ,"Time (routines) you're lights very easily, and tested whilst on holiday and can control it without problems.",5,1,1
  Donny Murray ,"Home tracking doesn't work as others have said, that's not an issue for me.",5,0,0
  Donny Murray ,I'm only using white b22 & gu10 bulbs.,5,0,0
  Kelly Huffman , App never wants to close,2,-1,1
  Chuck Marcus ," You had a ""random switch"" that let an alarm randomly activate within a 30min window in the old app.",3,-1,1
  Chuck Marcus ,Please add it to the new one.,3,0,0
  Shane Smith ," Leaving this at 1 star until they fix basic features, particularly geofencing.",1,-1,1
  Shane Smith ,The fact that Philips remains silent on this broken app is infuriating.,1,-1,1
  Pratish M , Location awareness not woking.,1,-1,1
  Daniel Tyrkas , Big Fail.,2,-1,1
  Daniel Tyrkas ,Does not recognise it's own lamps without painfully entering serial numbers.,2,-1,1
  Daniel Tyrkas ,"Does not recognise GU10 RGB Lightify Bulbs at all, as dealer promised.",2,-1,1
  Daniel Tyrkas ,0 points for customer experience.,2,-1,1
  Daniel Tyrkas ,The opposite of smooth.,2,-1,1
  Pamela Heath , Last update finally works as it ought.,4,-1,1
  Pamela Heath ,Connected to the bridge and lights without a hitch and no presets lost.,4,1,1
  Henry Helmes , I cannot setup location triggered events even though permissions have been granted to the app.,2,-1,1
  Ron Barker , This app never gave me a notification that it needed to be updated.,1,-1,1
  Ron Barker ,I went to use it one day and it forced an update on me.,1,-1,1
  Ron Barker ,Like I couldn't control any of my lights until I installed the updates.,1,-1,1
  Ron Barker ,This was extremely inconvenient as u was trying to get out the door.,1,-1,1
  Ron Barker ,Not to mention the scenes don't sync across the entire room.,1,-1,1
  Ron Barker ,Great product supported by a horrible app.,1,-1,1
  Ron Barker ,Garbage.,1,-1,1
  Gerhard Mourani ," Bugy application, doesn't save the changes or settings in map location and intensity of the light.",2,-1,1
  Arnulf Heimsbakk , Does what it's supposed to do.,5,1,1
  don lozinski , I can't keep logged in,4,-1,1
  Jamie Bergin ," Please fix location aware function, it turns of automatically for some reason.",1,-1,1
  Jamie Bergin ,This should be fixed as it is one of the main features of the hue system,1,-1,1
  Timothy Labeeuw , It's getting alot better!,5,1,1
  Timothy Labeeuw ,The new version is finally good.,5,1,1
  John Eads , The old app was great this is bumb down to work with I phones.,1,-1,1
  Paul Jallen , Widget's no longer work with Nougat.,2,-1,1
  Chris Kelly ," Location aware completely broken, can't even turn it on.",1,-1,1
  Chris Kelly ,As this is a massively advertised feature and this has been broken for months this is really poor.,1,-1,1
  Chris Kelly ,Dropped to 1 star as lack of response to a big broken feature shows the developer doesn't care about issues.,1,-1,1
  Karl Kernaghan , The first gen app still works better than this one and I wish they'd keep updating the old app.,2,-1,1
  Karl Kernaghan ,This app constantly looses connection to the bridge and randomly shuts off my lights.,2,-1,1
  Karl Kernaghan ,The old app was solid and all features work as expected.,2,0,0
  Karl Kernaghan ,This new one is just packed with bugs.,2,-1,1
  Karl Kernaghan ,Turn lights on or off based on location?,2,0,0
  Karl Kernaghan ,This app can't even keep the settings enabled.,2,-1,1
  Karl Kernaghan ,Also not being able to assign all lights in a preset is just lame.,2,-1,1
  Karl Kernaghan ,"The old app allowed this, why does the new one need to be room based?",2,-1,1
  Melvin Mota ," Fix the geolocation issue please, it's a real letdown that it doesn't work on a lot of devices.",3,-1,1
  Scott Sowers , Location aware won't stay on.,3,-1,1
  Ethan Cain , Location aware settings for Home & Away STILL NOT WORKING!,1,-1,1
  Ethan Cain ,Completely useless feature.,1,-1,1
  Chris Sumsion , Not as advertised.,2,-1,1
  Chris Sumsion ,Infrequent updates.,2,-1,1
  Michael Fraser , Fix the location awareness!,3,-1,1
  Michael Fraser ,Really not good enough that it doesn't work on a galaxy s7 - which has got to be one of the most popular phones this year.,3,-1,1
  Luke Fanning , So unreliable and buggy.,1,-1,1
  Luke Fanning ,The nest link has got issues and I can't reconnect it and it just useless,1,-1,1
   , Never connects if I'm away so what's the point?,2,-1,1
  Brett Toward , Why is the app becoming more basic?,2,0,0
  Brett Toward ,It's clunky and has few options.,2,-1,1
  Brett Toward ,"This should be smooth, beautiful, and give us options to really use these lights to their full potential.",2,-1,1
  Brett Toward ,Third party apps are better.,2,-1,1
  Brett Toward ,"Come on, how is that even.a thing?",2,0,0
  Brett Toward ,Fire your designer and hire some creative minds.,2,-1,1
  Marcel Vojtkovszky , Works like a charm.,5,1,1
  Marcel Vojtkovszky ,"Also, nice job with the recent updates.",5,1,1
  Concetta Vecchione ," Clear cut, responsive.",5,1,1
  Concetta Vecchione ,Love it.,5,1,1
  Stephen Lunn ," Location aware doesn't work, which would be most useful, and it seems not to have an option for sunrise/sunset automatic timings, again something that should be really obvious to include.",2,-1,1
  Stephen Lunn ,Very average,2,-1,1
   , It worked for me.,4,1,1
   ,Easy to use.,4,1,1
  Lucas Jansen , Too limited.,2,-1,1
  Lucas Jansen ,Can't create scenes to change all lights to certain presets.,2,-1,1
  Lucas Jansen ,I liked the old app beter.,2,-1,1
  Sophie Nguyen , awesome,5,1,1
  saywer zodfer , Worse than first gen app,1,-1,1
  Nicholas Boudreau , Useless.,1,-1,1
  Nicholas Boudreau ,Another day of leaving home with all the lights on because every switch has stopped responding.,1,-1,1
  Nicholas Boudreau ,Again.,1,0,0
  Nicholas Boudreau ,Have to reprogram every time.,1,-1,1
  Terry Le Long ," Doesn't do what it says on the tin... expensive hardware controlled by a cheaply built app, sort it out Philips.....",3,-1,1
  Teri Elmore , Better than it used to be.,4,1,1
  Teri Elmore ,Really need to be able to associate a scene with Wake/Sleep.,4,-1,1
  Teri Elmore ,"I want to be able to go to sleep with Relax scene dimming out, then wake up to Energize.",4,-1,1
  Teri Elmore ,Instead it wakes up to whatever scene I went to sleep to.,4,-1,1
  Teri Elmore ,Also waiting on a fix to home/away.,4,-1,1
  Cheryl M , My God this is made by Hue and it works almost never.,2,-1,1
  Cheryl M ,This is the worst app in history look for another one,2,-1,1
  James Smith , Need more functionality in the schedules!,3,-1,1
  James Smith ,"I don't want every light that I want to turn on and off to ""fade""!",3,-1,1
  James Smith ,There needs to be an option to have lights just turn on and off without that!,3,-1,1
  James Smith ,Also I can't add a scene to a scheduled color light?,3,-1,1
  James Smith ,Have to do it manually every time?,3,-1,1
  James Smith ,Fix THAT and I'll probably rate five star.,3,-1,1
  Michael Jackel , Does explain how to do anything the stupid thing can do like change colors and connect to music...,1,-1,1
  Xiaoming Shi , This software is a joke.,1,-1,1
  Xiaoming Shi ,Multiple unsolved bugs including not able to use geofencing.,1,-1,1
  Xiaoming Shi ,Returning the bulbs.,1,-1,1
  Josephine Kuever , Location aware setting will not stay on.,2,-1,1
  Trent Marsh , Lights always disconnect and they are near impossible to be found,1,-1,1
  Shawn Whiteley ," I spent a lot of time setting up my scenes and the fact that I can't use them on gen 2 is reason enough alone to not like this, let alone all of the other things that other people are listing.",1,-1,1
  Shawn Whiteley ,Love the lights though!,1,1,1
  Miroslav Havlas , Awesome app and even more awesome lights with Google Home!,5,1,1
   , Doesn't work half the time.,2,-1,1
   ,Very buggy,2,-1,1
   , Stops working when my broadband connection drops.,1,-1,1
   ,Ridiculous!,1,-1,1
  Chad Kameda , I am being forced to use someone elses settings.,1,-1,1
  Chad Kameda ,"We live in the same place, but so sorry, my bedroom is not his, and when I try to set my lights as my bedroom, it changes his stuff to mine.",1,-1,1
  Chad Kameda ,Uninstalling until you fix this.,1,-1,1
  Chad Kameda ,Keep providing updates to your older app until you fix this severe oversight.,1,-1,1
